;Date;zone;Energy Demand;Maximum Demand;ENS;Timestamp;longitud;latitud;ENS_;('Regression',);('Classification',)
192;2008/07/11;Antioquia;28061603.19;8242000;0;1215734400;-75.52001953;6.817352823;0;5.088;0.1
193;2008/07/12;Antioquia;26191400.59;7810000;0;1215820800;-75.52001953;6.817352823;0;0;0
194;2008/07/13;Antioquia;22759524.45;7215000;0;1215907200;-75.52001953;6.817352823;0;0;0
195;2008/07/14;Antioquia;27456051.69;8296000;36.83;1215993600;-75.52001953;6.817352823;1;25.781;0.3
196;2008/07/15;Antioquia;27928505.54;8303000;0;1216080000;-75.52001953;6.817352823;0;0;0
197;2008/07/16;Antioquia;27581154.16;8170000;0;1216166400;-75.52001953;6.817352823;0;0;0
198;2008/07/17;Antioquia;27634965.42;8184000;0;1216252800;-75.52001953;6.817352823;0;0;0
199;2008/07/18;Antioquia;28171699.23;8205000;0;1216339200;-75.52001953;6.817352823;0;0.115;0
200;2008/07/19;Antioquia;26333849.78;7758000;21.16;1216425600;-75.52001953;6.817352823;1;4.232;0.6
201;2008/07/20;Antioquia;22814852.48;7216000;4.76;1216512000;-75.52001953;6.817352823;1;3.808;0.5
202;2008/07/21;Antioquia;28333095.59;8393000;4.73;1216598400;-75.52001953;6.817352823;1;3.784;0.4
203;2008/07/22;Antioquia;28744613.16;8295000;0;1216684800;-75.52001953;6.817352823;0;0;0
204;2008/07/23;Antioquia;28728742.5;8517000;0;1216771200;-75.52001953;6.817352823;0;0;0.2
205;2008/07/24;Antioquia;29010657.39;8524000;0;1216857600;-75.52001953;6.817352823;0;0.212;0.1
206;2008/07/25;Antioquia;28600582.33;8420000;0;1216944000;-75.52001953;6.817352823;0;0;0
207;2008/07/26;Antioquia;26647603.69;7888000;0;1217030400;-75.52001953;6.817352823;0;0.211;0
208;2008/07/27;Antioquia;23228346.23;7372000;5.86;1217116800;-75.52001953;6.817352823;1;3.516;0.8
209;2008/07/28;Antioquia;28318564.97;8406000;0;1217203200;-75.52001953;6.817352823;0;0.236;0.1
210;2008/07/29;Antioquia;28911271.01;8479000;0;1217289600;-75.52001953;6.817352823;0;0;0
211;2008/07/30;Antioquia;28702410.04;8512000;0;1217376000;-75.52001953;6.817352823;0;0.1;0.1
212;2008/07/31;Antioquia;28609653.82;8476000;0;1217462400;-75.52001953;6.817352823;0;0;0
213;2008/08/01;Antioquia;28764643.63;8272000;0;1217548800;-75.52001953;6.817352823;0;0;0
214;2008/08/02;Antioquia;26414691.3;7732000;0;1217635200;-75.52001953;6.817352823;0;0;0
215;2008/08/03;Antioquia;22931324.55;7272000;0;1217721600;-75.52001953;6.817352823;0;0;0.3
216;2008/08/04;Antioquia;28449584.97;8504000;0;1217808000;-75.52001953;6.817352823;0;0;0
217;2008/08/05;Antioquia;28869045.01;8527000;0;1217894400;-75.52001953;6.817352823;0;0.106;0
218;2008/08/06;Antioquia;28720367.94;8263000;0;1217980800;-75.52001953;6.817352823;0;0;0
219;2008/08/07;Antioquia;24398258.42;7587000;0;1218067200;-75.52001953;6.817352823;0;0;0.1
220;2008/08/08;Antioquia;28074156.53;8353000;0;1218153600;-75.52001953;6.817352823;0;0.398;0
221;2008/08/09;Antioquia;26472890.48;7811000;0;1218240000;-75.52001953;6.817352823;0;0;0
222;2008/08/10;Antioquia;23060893.42;7327000;1.3;1218326400;-75.52001953;6.817352823;1;0.78;0.8
223;2008/08/11;Antioquia;28004653.97;8313000;0;1218412800;-75.52001953;6.817352823;0;0;0
224;2008/08/12;Antioquia;28922689.55;8437000;0;1218499200;-75.52001953;6.817352823;0;0;0
225;2008/08/13;Antioquia;28919068.03;8422000;0;1218585600;-75.52001953;6.817352823;0;0;0
226;2008/08/14;Antioquia;28699113.67;8330000;0;1218672000;-75.52001953;6.817352823;0;0;0
227;2008/08/15;Antioquia;28757833.85;8246000;0;1218758400;-75.52001953;6.817352823;0;0;0
